identifier,path,gcp_file_id,folder_name,author_subject,type,Years,gcp_folder_id,file_name,ocr_writen_on,ocr_writen_by,ocr_main_content,ocr_additional_content,ocr_writen_on_coords,ocr_writen_by_coords,ocr_main_content_coords,ocr_additional_content_coords,paragraphs_detection_successes,ocr_all_text_preprocess,ocr_all_text_no_preprocess,ocr_main_content_all_text_preprocess,ocr_main_content_all_text_no_preprocess,years,gcp_image_link,gcp_folder_link,is_handwritten
IDGNAZIM00011,"\CD00085 גורי, חיים - גורי, חיים\2260.tif",19Uug0oq2A_zunzo9k2AVhv4gQrnG2dz_,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2260.tif,גורי חיים,7-Feb,"תפילה לפנור ערב.- אם.- נגינת ביניים.- אל נאאתאסר (פתוך ""הרחק מאלגרינה)","מצץריב,ספרות,י'אב תשל""ה, (18.7.75),למ' 37
","910,122 1234,122 910,205 1234,205","910,122 1234,122 910,205 1234,205","90,298 1256,298 90,441 1256,441","140,606 1202,606 140,688 1202,688",TRUE,"תפילה לפנור ערב.- אם.- נגינת ביניים.- אל נא א תאסר (פתוך ""הרחק מאלגרינה) מצץריב,ספרות,י'אב תשל""ה, (18.7.75),למ' 37 ","גורי, חיים | תפילה לפנות ערב.- אם,- בגיגת ביניים.- אל בא תאמפר (פתוך ""הרחק -מאלגרינה) מעריב,ספרות,י'אב תשל""ה,(18.7.75),עמ' 67 ","וך ""הרחק מאלגרינה) מצץריב,ספרות,י'אב תשל""ה, (18.7.75),למ' 37 ","בא תאמפר (פתוך ""הרחק -מאלגרינה) מעריב,ספרות,י'אב תשל""ה,(18.7.75),עמ' 67 ",,https://drive.google.com/file/d/19Uug0oq2A_zunzo9k2AVhv4gQrnG2dz_,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00012,"\CD00085 גורי, חיים - גורי, חיים\2273.tif",1m0KkgXr3n6cmphWtRz4mSI87WijAg704,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2273.tif,"גורי, חיים",השלוס הובות,"גורי, חייםהשלוס הובות(פרור, חתוט ה-גי)רבר, כ סכת תשמ""ב,(15.1.82), עמ""2",,"421,6 1197,6 421,790 1197,790","421,6 1197,6 421,790 1197,790","421,6 1197,6 421,790 1197,790",,TRUE,"גורי, חיים השלוס הובות (פרור, חתוט ה-גי) רבר, כ סכת תשמ""ב,(15.1.82), עמ""2 ","גורי, חיים השלוט חובות (מדור, חתוט ה-גי) דבר, כ מבת תשמ""ב, (15.1.82), עמ""2 ","ת (פרור, חתוט ה-גי) רבר, כ סכת תשמ""ב,(15.1.82), עמ""2 ","ת (מדור, חתוט ה-גי) דבר, כ מבת תשמ""ב, (15.1.82), עמ""2 ",,https://drive.google.com/file/d/1m0KkgXr3n6cmphWtRz4mSI87WijAg704,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00013,"\CD00085 גורי, חיים - גורי, חיים\2271.tif",1ZXx7ZUbcO7X4EcUT2bnW12yzxf6h6q6R,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2271.tif,רוי,"גודי, חתינ","רויגודי, חתינחיים","וו של ראסד

חגור )
","737,77 1016,77 737,139 1016,139","737,77 1016,77 737,139 1016,139","737,77 1016,77 737,139 1016,139","580,297 830,297 580,438 830,438",TRUE,תסובתו של ראסד תוסיין חתום חגור ) ,"גורי, חיים תטשובתו של ראשד תוסיין \ חתום חגור ) למרחב, 19.9.1958, עם. 8 ",) ,"ן \ חתום חגור ) למרחב, 19.9.1958, עם. 8 ",,https://drive.google.com/file/d/1ZXx7ZUbcO7X4EcUT2bnW12yzxf6h6q6R,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00014,"\CD00085 גורי, חיים - גורי, חיים\2263.tif",11hDwC2X9_Ln9aEq56gPKihdXHmbO-FSf,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2263.tif,השעה טשירים משנוה הטרבעים -ן אב.תצפית מעלר,הכרמלרב.אקדמות לצפרנים תאלת.- ‏ האע מתה,"השעה טשירים משנוה הטרבעים -ן אב.תצפית מעלרהכרמלרב.אקדמות לצפרנים תאלת.- ‏ האע מתהעלומץ אותי 9!! .- כ מרים 9.- הבנדור בחפשאת מהובתו .- חמדור מדבר אל טהובתו כאילוהיתה ארץ ‎ -.‏ בקור בנתלל .- הוזקן לוקםאה הנערים ‎ -,‏ ברות הנושב [כתוך""הספר הכמבוגצץ""'. ₪ 0מעריב, 60.4.107%, / עמ",,"114,236 1182,236 114,762 1182,762","114,236 1182,236 114,762 1182,762","114,236 1182,236 114,762 1182,762",,TRUE,"השעה סירים משנוה הטרבעים -ן אב.תצפית לער הכרמלרב.אקדמות לצפרנים תאלת.- ‏ האע מתה לומל אותי 9!! ‎ -.0‏ מרים 09.- הקדור בחפש את מהובתו .- חמדור מדבר אל טהובתו כאילו היתה ארך ‎ -.‏ בקור בנתלל .- הזקן לוקם אה הנערים .- ברוח הנושבת מן היף [מתוך ""הספר הכפבוגע""' מעריב, 60.4.107%, עמ ","גור"", תיים השעה שירים משגות הארבעים ‏ ; א.תצפית מעל הכרמלבב.אקדמות לארנ""ם האלה.- ‏ האם אתה טומע ארתי ל!! -.- מרים ? .-- חמדור מחפש את אהובתו ‎ -.‏ חמדור מדבר אל אהובתו כאללו היתה ארץ ‎ -.‏ בקור בנהלל .-- הצקן לוקתח את הנערים ‎ -.‏ ברוח הנושבת מן חים [מתוך ""הספר המשוגע"" מעריב, 20.4.1970, עמ'* 18 ","לומל אותי 9!! ‎ -.0‏ מרים 09.- הקדור בחפש את מהובתו .- חמדור מדבר אל טהובתו כאילו היתה ארך ‎ -.‏ בקור בנתלל .- הזקן לוקם אה הנערים .- ברוח הנושבת מן היף [מתוך ""הספר הכפבוגע""' מעריב, 60.4.107%, עמ ","‏ האם אתה טומע ארתי ל!! -.- מרים ? .-- חמדור מחפש את אהובתו ‎ -.‏ חמדור מדבר אל אהובתו כאללו היתה ארץ ‎ -.‏ בקור בנהלל .-- הצקן לוקתח את הנערים ‎ -.‏ ברוח הנושבת מן חים [מתוך ""הספר המשוגע"" מעריב, 20.4.1970, עמ'* 18 ",,https://drive.google.com/file/d/11hDwC2X9_Ln9aEq56gPKihdXHmbO-FSf,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00015,"\CD00085 גורי, חיים - גורי, חיים\2268.tif",1wD4LMVciwiNIbOG_pRPRdXmhOyT4yb3Z,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2268.tif,"גורי, חיים",,"תס""ם.(25.7.80),","גורי, חיים
","959,90 1173,90 959,140 1173,140",,"592,493 907,493 592,546 907,546","959,90 1173,90 959,140 1173,140",TRUE,"גורי, חיים תקטוות (חתום הגור) רבר,יב אב תש""ם.(25.7.80), עס"" 15 ","גורי, חיים תקשורת (חתום חגור) דבר,יב אב תש""ם.(25.7.80), עמ"" 15 ","ום הגור) רבר,יב אב תש""ם.(25.7.80), עס"" 15 ","ום חגור) דבר,יב אב תש""ם.(25.7.80), עמ"" 15 ",,https://drive.google.com/file/d/1wD4LMVciwiNIbOG_pRPRdXmhOyT4yb3Z,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00016,"\CD00085 גורי, חיים - גורי, חיים\2274.tif",12RRhgKDPW1YN81ePMcYYWb_Z_Vyyb4LD,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2274.tif,גורי חהיים,<=---2----,"[ סה אופרים"", חהום: הגי )","גורי חהיים
<=---2----
","876,82 1113,82 876,143 1113,143","876,82 1113,82 876,143 1113,143","110,319 627,319 110,409 627,409","876,82 1113,82 876,143 1113,143",TRUE,"גורי, חיים ""90% בהורים"" [ סה אופרים"", חהום: הגי ) למרחב, 27.1.00, ע"" 2 ","גורי, חיים ""900 בחורים"" | מה אומרים?, חתום: חגי ) למרחב, 27.1.60, ע"" 2 ",": הגי ) למרחב, 27.1.00, ע"" 2 ",": חגי ) למרחב, 27.1.60, ע"" 2 ",,https://drive.google.com/file/d/12RRhgKDPW1YN81ePMcYYWb_Z_Vyyb4LD,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00017,"\CD00085 גורי, חיים - גורי, חיים\2251.tif",1sNSy1pzhsopPmIL35cbitDOkwdooTlbn,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2251.tif,"גורי,דייס",,"אוכריב,וה וכ:הגין",#NAME?,"942,136 1163,136 942,192 1163,192",,"484,464 862,464 484,516 862,516","580,403 821,403 580,447 821,447",TRUE,"גורי,דייס הבודר-זיות [כר אוכריב,רזוב:חגין ",". גורי, היים תערדת-זהות [ מה אורמרים,חת רם:חבי| למרחב, מש 1958. 6.5,עמ. 2 "," [כר אוכריב,רזוב:חגין ","הות [ מה אורמרים,חת רם:חבי| למרחב, מש 1958. 6.5,עמ. 2 ",,https://drive.google.com/file/d/1sNSy1pzhsopPmIL35cbitDOkwdooTlbn,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00018,"\CD00085 גורי, חיים - גורי, חיים\2276.tif",1Beq-8jzNOJfYzWiBNsvJyX8OZTXypvF-,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2276.tif,"גורי, חייס",ידה חידה--1.- =,"גורי, חייסידה חידה--1.- =","(מה אופרים?) , | חתום גי
","993,40 1243,40 993,105 1243,105","993,40 1243,40 993,105 1243,105","993,40 1243,40 993,105 1243,105","41,243 570,243 41,350 570,350",TRUE,"גורי, חיים 9 פרסיס - ואחד ברדרבה (מה אופרים?) , | חתום גי למרחב, 5.12.1957, עם"" 2 ","גורי, חיים 9 פרסים - ואחד ברדרבה (מה אומרים?) | חתום ₪ למרחב, 5.12.1957, למ"" 2 ","חתום גי למרחב, 5.12.1957, עם"" 2 ","ום ₪ למרחב, 5.12.1957, למ"" 2 ",,https://drive.google.com/file/d/1Beq-8jzNOJfYzWiBNsvJyX8OZTXypvF-,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00019,"\CD00085 גורי, חיים - גורי, חיים\2269.tif",1Xv1Um7jsLg7KErhcRbojVIRCAR0R8tGZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2269.tif,"גורי, חייס",,"ס""?:.,,105.8.(0סש""מ,תּוו₪ססור,ב.","תרבות הדיבור
","910,66 1144,66 910,131 1144,131",,"351,536 1050,536 351,607 1050,607","766,204 1038,204 766,258 1038,258",TRUE,"גורי, חייס תרבות הדיבור חתום הגור דבר, סו סיון תש""מ, (10.5,80), צץס""? ","0 גור"", ח""יס תרבות הדיבור חתום הגור דבר, טו סיון תש""מ, (30.5,80), עמ""2 "," חתום הגור דבר, סו סיון תש""מ, (10.5,80), צץס""? ","ור חתום הגור דבר, טו סיון תש""מ, (30.5,80), עמ""2 ",,https://drive.google.com/file/d/1Xv1Um7jsLg7KErhcRbojVIRCAR0R8tGZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00020,"\CD00085 גורי, חיים - גורי, חיים\2265.tif",1na02C7-_rpDtJBAczvA4eTZoXOf-sMNi,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2265.tif,"גורי,חיים",,"החקליס סדוקמתוך: "" אלרגיות פוליסיות""חתום: תח - גי","דבר,כ""א אדר ב"" השפ""א, !27.3.81עמ7 16

","898,0 1194,0 898,97 1194,97",,"287,225 988,225 287,512 988,512","264,519 1188,519 264,808 1188,808",TRUE,"גורי,חיים החקליס סדוק מתוך: "" אלרגיות פוליסיות"" חתום: תח - גי דבר,כ""א אדר ב"" השפ""א, !27.3.81עמ7 16 ",""" גורי,היים תקליט סדוק מתוך: "" אלרגיות פוליטיות"" חתום: תח - גל "," חתום: תח - גי דבר,כ""א אדר ב"" השפ""א, !27.3.81עמ7 16 ",""" חתום: תח - גל ",,https://drive.google.com/file/d/1na02C7-_rpDtJBAczvA4eTZoXOf-sMNi,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00021,"\CD00085 גורי, חיים - גורי, חיים\2259.tif",1TjyZBFF3LWrwWCd1t01XIr_Y1xObelO0,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2259.tif,גורי.הליים,"דבר,מקטג.י כסלו השמג.982ו,26.11","גורי.הלייםדבר,מקטג.י כסלו השמג.982ו,26.11יב",,"254,0 1264,0 254,772 1264,772","254,0 1264,0 254,772 1264,772","254,0 1264,0 254,772 1264,772",,TRUE,"גורי. ייים דבר,מכט.,י יב ","גורי,חיים הפילח הכפופרים מתוך:"" השטירים והזמן"" דבר,מטא,י כסלו תטמג,26.11,1982 עמ 19 ",,"הזמן"" דבר,מטא,י כסלו תטמג,26.11,1982 עמ 19 ",,https://drive.google.com/file/d/1TjyZBFF3LWrwWCd1t01XIr_Y1xObelO0,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00022,"\CD00085 גורי, חיים - גורי, חיים\2267.tif",1tzgBMPpgWfPHE5aQ8TCBc2F6vc2NnZmZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2267.tif,"גורי,.חיים",,"הלמו,0.10,109935ו","תקרית
(חתום:
","897,21 1144,21 897,81 1144,81",,"412,523 811,523 412,719 811,719","873,206 1034,206 873,301 1034,301",TRUE,"גורי,.חיים תקרית קטנה (חתום: חגור) דבר. כה חשרי העמו,0.10,103%ו עמך7 ","גורי.חיים תקרית קטנה (חתום: הגור) דבר. כה תשרי תשמו,10.10,1985 עמ7 ","חתום: חגור) דבר. כה חשרי העמו,0.10,103%ו עמך7 ","תום: הגור) דבר. כה תשרי תשמו,10.10,1985 עמ7 ",,https://drive.google.com/file/d/1tzgBMPpgWfPHE5aQ8TCBc2F6vc2NnZmZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00023,"\CD00085 גורי, חיים - גורי, חיים\2275.tif",1crAwu61ctbcpzvK4mYg6Atkul9IOIDy2,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2275.tif,4 ב' לונ,,"0 ה כ ""ל 5ירת </ 00ץ ₪ 2020 2","4 ב' לונ
","772,13 1142,13 772,134 1142,134",,"240,103 1101,103 240,360 1101,360","772,13 1142,13 772,134 1142,134",TRUE,"4 ב' לונ 0 ה כ ""ל 5 ירת </ 00ץ ₪ 2020 2 ",לו יע ‎ )+‏ ל (שי:) 2 , 5 ירת </ 00ץ ₪ 2020 2 ,:) 2 ,,https://drive.google.com/file/d/1crAwu61ctbcpzvK4mYg6Atkul9IOIDy2,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
